구,위도,경도,위험점수_AHP,소방접근성_점수,노후도_점수,반경_50m_건물수,집중도(%),로그_주변대비_상대위험도_고유단속지점_50m,공식도로폭m
종로구,37.56785597,126.98450169,62.63,0.603,0.5589,13,76.9,0.6931471805599453,10.0
종로구,37.57030354,126.9840039,34.67,0.6255,0.2366,8,50.0,0.7304542329727559,35.0
종로구,37.57180204,126.98300804,31.34,0.6475,0.1009,14,71.4,0.4895482253187058,30.0
종로구,37.57093161,126.99588429,30.37,0.8455,0.3893,3,100.0,0.0652912498144373,35.0
종로구,37.56976898,127.01545561,31.19,0.786,0.296,3,66.7,1.8643198527313989,25.0
종로구,37.56954746,126.98855583,27.98,0.8045,0.1009,21,61.9,1.7926362777015894,7.0
종로구,37.57304815,127.00317208,25.4,0.6435,0.1009,7,57.1,0.058188157683169,40.0
종로구,37.56859605,126.97474946,85.09,0.3135,0.5759,5,100.0,0.035612071788877,10.0
종로구,37.56787973,126.99879348,60.15,0.661,0.542,37,59.5,0.6931471805599453,8.0
종로구,37.57078678,126.99068465,42.27,0.919,0.5589,31,61.3,0.698324068739479,5.0
종로구,37.56790086,127.00943028,29.83,0.863,0.3299,6,100.0,0.2810012094609484,25.0
종로구,37.57018563,126.99144197,14.13,0.9255,0.2027,11,72.7,0.3761947258080512,35.0
종로구,37.56655742,126.98379997,59.37,0.5385,0.6098,4,50.0,0.6931471805599453,30.0
종로구,37.57228397,127.02039051,43.5,0.691,0.3129,9,66.7,0.7105211484959985,7.0
중구,37.55403706,126.97637629,32.16,0.7125,0.1433,14,57.1,0.6931471805599453,11.99
종로구,37.56817447,127.01314811,28.3,0.918,0.3554,5,80.0,2.290649742444773,20.0
종로구,37.56664615,126.98332934,53.07,0.534,0.4741,3,66.7,1.0608719606852626,39.0
종로구,37.56718514,126.98358024,61.13,0.549,0.4996,15,46.7,1.2794312155775294,10.0
종로구,37.56810507,127.0045472,51.92,0.6535,0.542,12,100.0,0.0130720815673527,39.0
종로구,37.56946846,127.01349641,43.58,0.846,0.6098,6,66.7,1.8129221675840912,20.0
종로구,37.56730221,127.0037223,49.76,0.623,0.4741,5,100.0,0.0575238441381866,39.0
종로구,37.57265524,127.00336668,50.4,0.6205,0.3129,8,75.0,0.8026314134016336,4.0
종로구,37.56953983,126.98762245,30.98,0.768,0.2621,16,75.0,1.5746285077682394,35.0
종로구,37.57029351,127.01912285,38.37,0.662,0.0585,48,50.0,1.1337273076890122,8.0
종로구,37.56975326,127.01196959,12.51,0.8395,0.0754,3,33.3,1.6502405363066972,25.0
종로구,37.56702341,126.98663866,59.37,0.6525,0.525,1,100.0,1.652923024373839,10.0
종로구,37.56669767,126.98479778,61.07,0.5785,0.5589,3,66.7,0.3677247801253173,10.0
종로구,37.56877711,127.01021919,45.49,0.8615,0.8219,2,50.0,2.585960082443016,39.0
종로구,37.57416521,126.99046732,39.38,0.8185,0.1857,66,60.6,2.277267285009756,6.0
종로구,37.56925877,127.006942,38.0,0.731,0.4317,2,50.0,0.7023638356648694,25.0
종로구,37.57009871,126.98769431,39.93,0.782,0.508,7,85.7,0.3642775497015497,35.0
종로구,37.56957912,126.99966041,43.96,0.6665,0.3299,17,94.1,1.4960019827707285,35.0
종로구,37.56632523,126.98626896,38.65,0.624,0.296,2,50.0,1.2840155119994725,30.0
종로구,37.56665459,126.98850671,34.07,0.6905,0.067,21,76.2,0.8184642999558599,11.0
종로구,37.56594442,126.98577426,44.76,0.619,0.3299,2,100.0,1.7394910406822983,39.0
종로구,37.57038151,126.98267937,43.51,0.5735,0.508,0,0.0,0.414123170851279,35.0
종로구,37.5705788,127.02004352,40.24,0.6275,0.1179,10,60.0,1.6992974632002564,4.0
종로구,37.57389547,126.9897488,58.88,0.8135,0.5589,76,61.8,1.244643844056864,3.0
종로구,37.56890164,127.00203539,52.51,0.5555,0.3384,19,63.2,0.9573707576176196,20.0
종로구,37.56619998,126.99118829,48.34,0.7605,0.5589,24,83.3,0.7206876474967924,30.0
종로구,37.56915801,126.9800544,57.82,0.4515,0.508,0,0.0,2.597384633214691,25.0
종로구,37.57248011,127.01971336,41.12,0.694,0.2705,27,44.4,0.3035351275471273,7.0
종로구,37.57203715,127.00395269,46.04,0.582,0.1009,37,59.5,0.6931471805599453,4.0
종로구,37.57059843,127.01860129,30.94,0.657,0.0924,11,54.5,0.8746092615811812,20.0
종로구,37.57297519,126.99797784,23.19,0.737,0.1009,5,60.0,1.0632729222228008,28.0
종로구,37.56798355,127.00952148,35.31,0.865,0.5335,6,100.0,0.1482530044498824,39.0
종로구,37.56923344,126.98879056,25.78,0.804,0.0924,21,71.4,0.9408455369813622,14.0
종로구,37.57353634,127.0219178,49.09,0.7665,0.5165,30,43.3,1.2512891288770671,7.0
종로구,37.57227399,126.98806987,32.44,0.801,0.2196,18,50.0,2.672021859258811,9.0
종로구,37.57179889,126.98893263,29.4,0.844,0.1603,21,71.4,2.500969678805677,9.0
종로구,37.56655068,126.98415388,56.38,0.551,0.4232,5,60.0,0.5596157879354227,10.0
종로구,37.56916257,127.01374879,35.35,0.857,0.4147,10,40.0,1.9997770917556368,5.0
종로구,37.57244418,127.00083322,35.74,0.623,0.05,11,54.5,1.0283354452521425,5.0
종로구,37.57044997,127.01867554,37.12,0.663,0.1009,22,63.6,0.7940648516932153,8.0
종로구,37.56604937,126.99210865,52.15,0.779,0.525,25,64.0,2.574111725223541,6.0
종로구,37.56737832,127.01474752,38.54,0.8865,0.525,14,57.1,0.0564856021345574,6.0
종로구,37.57929506,126.99713608,34.59,0.79,0.279,5,100.0,2.6288008294480694,28.0
종로구,37.57109607,127.02145559,37.32,0.6305,0.1179,2,100.0,0.2694761079552084,20.0
종로구,37.56790086,127.00943028,29.83,0.863,0.3299,6,100.0,0.2810012094609484,25.0
종로구,37.56597443,126.98782642,42.95,0.689,0.3893,14,100.0,0.4418327522790392,39.0
종로구,37.57336561,126.99794846,27.78,0.73,0.1433,17,58.8,1.2008429113170085,28.0
종로구,37.57427525,126.99045283,42.04,0.8125,0.2875,54,55.6,2.3135541243646194,6.0
