구,동,숙소명,위도,경도,승인연도,주변건물수,집중도,단속위험도,구조노후도,도로폭위험도,총층수,시설규모/연면적,업종,건물용도명,match_radius_m,fire_count_within_match_radius,is_train_matched,split,nearest5_mean_damage_thousand_krw,nearest5_median_damage_thousand_krw,nearest5_mean_distance_m,nearest1_distance_m,nearest1_damage_thousand_krw,nearest1_fire_year,nearest2_damage_thousand_krw,nearest2_distance_m,nearest2_fire_year,nearest3_damage_thousand_krw,nearest3_distance_m,nearest3_fire_year,nearest4_damage_thousand_krw,nearest4_distance_m,nearest4_fire_year,nearest5_damage_thousand_krw,nearest5_distance_m,nearest5_fire_year,predicted_damage_thousand_krw,prediction_model,knn_k,knn_weights
종로구,종로2가,서울YMCA관광호텔,37.56785597,126.98450169,1965,13,15.4,0.6931471805599453,0.1851,0.55,9,893.0,관광숙박업,호텔,44,0,0,test_unmatched,305.8,107.0,97.53640004529464,50.36735504922142,239,2023,107,70.17281405596607,2019,1,119.91328409262974,2019,1103,121.41700427122846,2019,79,125.8115427574275,2024,757.2218705467466,knn_log1p,21,distance
종로구,관훈동,호텔 썬비,37.57030354,126.9840039,2003,8,50.0,0.7304542329727559,0.1308,0.08,10,2071.0,관광숙박업,호텔,44,1,1,train_matched,104.4,20.0,56.88227474911808,20.969650151521858,20,2017,458,59.26365188792086,2021,11,64.85127007746775,2021,22,69.66340081433997,2017,11,69.66340081433997,2018,104.39999999999999,knn_log1p,21,distance
종로구,관훈동,나인트리 바이 파르나스 서울 인사동,37.57180204,126.98300804,2019,14,71.4,0.4895482253187058,0.1079,0.12,17,22135.0,관광숙박업,숙박시설,44,0,0,test_unmatched,10899.8,43.0,64.06372737042099,46.61704183670565,8591,2017,45865,58.799492476569654,2022,43,68.32603557212784,2019,0,73.2875691506698,2024,0,73.28849781603205,2020,869.3447417400735,knn_log1p,21,distance
종로구,인의동,이스트 아뜰리에,37.57093161,126.99588429,1985,3,0.0,0.0652912498144373,0.4289,0.08,4,367.96,외국인관광도시민박업,숙박시설,44,1,1,train_matched,155.4,44.0,77.15257606122923,4.868638606930402,44,2022,3,68.55546049708342,2017,427,91.8287380280974,2017,35,94.54064694197422,2023,268,125.96939623206073,2018,155.4,knn_log1p,21,distance
종로구,숭인동,U-STAY HOSTEL,37.56976898,127.01545561,1996,3,0.0,1.8643198527313989,0.1408,0.18,6,130.0,관광숙박업,숙박시설,44,0,0,test_unmatched,312.0,22.0,76.26119859108971,64.6077240467338,12,2022,11,70.24635311365968,2018,283,71.18747568758913,2024,22,84.37137440719208,2024,1232,90.8930657002739,2019,1733.447302035733,knn_log1p,21,distance
종로구,낙원동,목시 서울 인사동 호텔,37.56954746,126.98855583,2019,21,66.7,1.7926362777015894,0.1079,0.85,19,5971.0,관광숙박업,숙박시설,44,3,1,train_matched,178.4,99.0,37.14839380231561,14.241726352850018,22,2019,470,36.39547060607284,2020,99,40.305380238295584,2018,0,47.342033969830084,2024,301,47.45735784452953,2021,178.39999999999995,knn_log1p,21,distance
종로구,이화동,글루호텔,37.57304815,127.00317208,2019,7,57.1,0.058188157683169,0.1079,0.04,15,1844.0,관광숙박업,숙박시설,44,1,1,train_matched,6061.6,33.0,86.27747161714353,43.68476409718864,20,2021,16049,68.6009159027098,2023,13,91.75266893416966,2018,33,97.75964258830491,2018,14193,129.58936656334464,2023,6061.599999999999,knn_log1p,21,distance
종로구,당주동,SOUNDS INN GWANGHWAMUN,37.56859605,126.97474946,1963,5,0.0,0.035612071788877,0.4676,0.55,5,162.0,관광숙박업,"제1,2종근린생활시설",44,0,0,test_unmatched,447.0,131.0,114.00780699752436,104.34450499116107,11,2020,1717,107.5366684420613,2020,363,112.28000930260713,2018,13,122.37553057871439,2022,131,123.50232167307784,2020,517.2464296984787,knn_log1p,21,distance
종로구,종로4가,진가,37.56787973,126.99879348,1967,37,78.4,0.6931471805599453,0.1823,0.7,5,151.0,관광숙박업,"영업용, 관광숙박시설(호스텔)",44,3,1,train_matched,27302.6,658.0,39.770104949520245,24.7373325198055,34,2018,113843,36.80916498938401,2022,658,40.72743493452117,2024,11,45.219331445055055,2022,21967,51.35726085883551,2017,27302.60000000002,knn_log1p,21,distance
종로구,묘동,킴스텔코리아 종로점,37.57078678,126.99068465,1965,31,67.7,0.698324068739479,0.4641,1.0,6,291.0,관광숙박업,"숙박시설, 근린생활시설",44,8,1,train_matched,228.4,187.0,9.525719128226774,1.60326218593334,162,2021,187,1.60326218593334,2019,277,1.60326218593334,2019,482,18.275612826672557,2022,34,24.543196256661293,2024,228.40000000000006,knn_log1p,21,distance
종로구,창신동,호스텔 메가 동대문역,37.56790086,127.00943028,1992,6,0.0,0.2810012094609484,0.1465,0.18,6,152.0,관광숙박업,근린생활시설,44,2,1,train_matched,501.2,480.0,52.18425220513431,16.403337037044256,1100,2023,480,28.29282629603948,2024,749,70.46823951825267,2019,60,71.52901403015915,2022,117,74.22784414417596,2024,501.2000000000001,knn_log1p,21,distance
종로구,봉익동,포레스트 스테이 종로,37.57018563,126.99144197,2007,11,81.8,0.3761947258080512,0.1251,0.08,5,285.0,관광숙박업,"근린생활시설,숙박시설",44,0,0,test_unmatched,197.4,11.0,58.38529426102589,48.81978906621587,803,2023,172,56.32772578592161,2021,11,56.45471224236793,2018,0,62.08099264314032,2023,1,68.2432515674837,2021,867.2137332766334,knn_log1p,21,distance
종로구,관철동,MOMENTO HOSTEL,37.56655742,126.98379997,1959,4,0.0,0.6931471805599453,0.1937,0.12,5,435.0,관광숙박업,"근린생활시설,숙박시설",44,1,1,train_matched,439.0,102.0,51.330793098691515,23.306025054940356,11,2022,102,52.348581881120765,2024,16,60.332900523957164,2021,1650,60.332900523957164,2017,416,60.33355750948213,2023,438.99999999999983,knn_log1p,21,distance
종로구,숭인동,더온재,37.57228397,127.02039051,1994,9,33.3,0.7105211484959985,0.1436,0.85,5,152.0,관광숙박업,"근린생활시설, 숙박시설",44,2,1,train_matched,98790.2,147.0,50.06966589632405,22.58507040225997,56,2022,56,22.58507040225997,2022,469,52.82878674572056,2022,493223,72.59275813465463,2017,147,79.75664379672507,2018,98790.20000000007,knn_log1p,21,distance
중구,남창동,케이팝 서울타워 호스텔,37.55403706,126.97637629,2014,14,42.9,0.6931471805599453,0.115,0.55,5,488.0,관광숙박업,숙박시설(호스텔),44,0,0,test_unmatched,78.8,49.0,80.0437889754971,51.603767694861844,283,2021,11,70.20007821478347,2024,49,79.03903006544226,2020,50,96.99103425398971,2017,1,102.38503464840818,2018,1402.8441474728088,knn_log1p,21,distance
